U_68336	UBA8980	GB_GCA_003501905.1
U_68936	UBA2695	GB_GCA_002354425.1
U_65594	UBA710	GB_GCA_002298905.1
U_76681	UBA7277	GB_GCA_002472335.1
U_65694	UBA775	GB_GCA_002297145.1
U_73221	UBA10852	GB_GCA_003523525.1
U_68880	UBA2658	GB_GCA_002359425.1
U_72601	UBA4869	GB_GCA_002399505.1
U_69879	UBA3342	GB_GCA_002360865.1
U_74806	UBA6082	GB_GCA_002428665.1
U_74658	UBA11335	GB_GCA_003446195.1
U_66167	UBA1053	GB_GCA_002316465.1
U_67105	UBA1595	GB_GCA_002322775.1
U_70519	UBA9734	GB_GCA_003448655.1
U_66924	UBA8449	GB_GCA_003527285.1
U_71859	UBA4409	GB_GCA_002390825.1
U_72060	UBA4537	GB_GCA_002388065.1
U_70905	UBA9862	GB_GCA_003444595.1
U_71925	UBA4450	GB_GCA_002389525.1
U_71387	UBA10084	GB_GCA_003456295.1
U_75857	UBA6726	GB_GCA_002454095.1
U_67081	UBA8527	
U_74970	UBA6212	GB_GCA_002421905.1
U_66343	UBA8249	
U_67728	UBA8744	GB_GCA_003532565.1
U_65788	UBA8074	
U_70900	UBA3928	GB_GCA_002385915.1
U_76281	UBA11894	GB_GCA_003533765.1
U_77544	UBA7726	GB_GCA_002482055.1
U_67584	UBA1894	GB_GCA_002352835.1
U_72479	UBA4806	GB_GCA_002402635.1
U_70433	UBA3619	GB_GCA_002375165.1
U_65753	UBA806	GB_GCA_002296895.1
U_66201	UBA1073	GB_GCA_002316075.1
U_74390	UBA5843	GB_GCA_002431665.1
U_66844	UBA1469	GB_GCA_002325565.1
U_66853	UBA8424	GB_GCA_003448435.1
U_67630	UBA8714	GB_GCA_003455835.1
U_69386	UBA3032	GB_GCA_002367645.1
U_70024	UBA3406	GB_GCA_002358485.1
U_66572	UBA1292	GB_GCA_002307875.1
U_71291	UBA4121	GB_GCA_002381565.1
U_76116	UBA6867	GB_GCA_002452065.1
U_72851	UBA5009	GB_GCA_002396665.1
U_76380	UBA7033	GB_GCA_002494095.1
U_69415	UBA3054	GB_GCA_002366995.1
U_77831	UBA12501	
U_71100	UBA9941	GB_GCA_003455015.1
U_76924	UBA12150	GB_GCA_003508905.1
U_77291	UBA7550	GB_GCA_002476705.1
U_70619	UBA9767	
U_65417	UBA636	GB_GCA_002299675.1
U_73682	UBA10994	GB_GCA_003500685.1
U_72465	UBA279	GB_GCA_002502855.1
U_76457	UBA7104	GB_GCA_002492385.1
U_68345	UBA2333	GB_GCA_002344895.1
U_69497	UBA3103	GB_GCA_002365855.1
U_71438	UBA10119	GB_GCA_003524865.1
U_75521	UBA6538	GB_GCA_002434705.1
U_72695	UBA319	GB_GCA_002509415.1
U_67642	UBA1930	GB_GCA_002337145.1
U_71498	UBA10179	GB_GCA_003528105.1
U_77602	UBA7777	GB_GCA_002481005.1
U_73020	UBA10736	GB_GCA_003522365.1
U_73659	UBA10989	GB_GCA_003499405.1
U_72280	UBA4678	GB_GCA_002405075.1
U_73660	UBA10990	GB_GCA_003500925.1
U_75989	UBA11796	GB_GCA_003482965.1
U_73648	UBA5393	GB_GCA_002407765.1
U_74594	UBA11310	GB_GCA_003536915.1
U_70357	UBA3573	GB_GCA_002375965.1
U_77708	UBA12386	GB_GCA_003510785.1
U_69435	UBA3069	GB_GCA_002366795.1
U_75090	UBA6300	GB_GCA_002440415.1
U_65680	UBA765	GB_GCA_002298445.1
U_75676	UBA6629	GB_GCA_002455845.1
U_76544	UBA7177	GB_GCA_002491225.1
U_65562	UBA691	GB_GCA_002298205.1
U_69595	UBA3156	GB_GCA_002364565.1
U_66635	UBA1328	GB_GCA_002306815.1
U_70367	UBA3581	GB_GCA_002375805.1
U_69193	UBA2889	GB_GCA_002349705.1
U_71475	UBA10156	GB_GCA_003534755.1
U_72658	UBA4898	GB_GCA_002398265.1
U_65647	UBA739	GB_GCA_002297865.1
U_75188	UBA11514	GB_GCA_003522065.1
U_70714	UBA3794	GB_GCA_002369835.1
U_68845	UBA2638	GB_GCA_002359735.1
U_72046	UBA4528	GB_GCA_002388245.1
U_69617	UBA9364	
U_68139	UBA2210	GB_GCA_002327865.1
U_71248	UBA10025	GB_GCA_003527115.1
U_75778	UBA11699	GB_GCA_003482855.1
U_73328	UBA5199	GB_GCA_002412845.1
U_73147	UBA5103	GB_GCA_002415575.1
U_68158	UBA2225	GB_GCA_002348205.1
U_68539	UBA162	GB_GCA_002496425.1
U_73298	UBA5183	GB_GCA_002413165.1
U_70865	UBA9854	GB_GCA_003451595.1
U_67567	UBA1883	GB_GCA_002337985.1
U_65629	UBA728	GB_GCA_002298725.1
U_73472	UBA5281	GB_GCA_002410555.1
U_66287	UBA8232	
U_71933	UBA10346	
U_67915	UBA8817	GB_GCA_003523685.1
U_68589	UBA9035	GB_GCA_003503515.1
U_74019	UBA436	GB_GCA_002497965.1
U_73701	UBA5428	GB_GCA_002424385.1
U_70354	UBA236	GB_GCA_002494665.1
U_77833	UBA12503	
U_76312	UBA6991	GB_GCA_002452195.1
U_66323	UBA1144	GB_GCA_002311855.1
U_65945	UBA8124	GB_GCA_003517855.1
U_71891	UBA10333	GB_GCA_003492055.1
U_72522	UBA10535	GB_GCA_003484395.1
U_66735	UBA1399	GB_GCA_002305155.1
U_74521	UBA5934	GB_GCA_002430855.1
U_66951	UBA1529	GB_GCA_002323805.1
U_74252	UBA5747	GB_GCA_002419145.1
U_77750	UBA12424	GB_GCA_003513105.1
U_73777	UBA11012	
U_69683	UBA3212	GB_GCA_002363615.1
U_65627	UBA727	GB_GCA_002298025.1
U_67035	UBA8484	GB_GCA_003513485.1
U_69286	UBA2964	GB_GCA_002348425.1
U_67238	UBA108	GB_GCA_002504045.1
U_67870	UBA8798	GB_GCA_003534265.1
U_70711	UBA9807	GB_GCA_003527105.1
U_68078	UBA142	GB_GCA_002505845.1
U_72291	UBA4689	GB_GCA_002404935.1
U_77656	UBA7815	GB_GCA_002480285.1
U_71014	UBA4002	GB_GCA_002384775.1
U_72023	UBA4510	GB_GCA_002388565.1
U_68706	UBA2575	GB_GCA_002339485.1
U_77776	UBA12446	GB_GCA_003504255.1
U_65520	UBA7972	GB_GCA_003500785.1
U_73343	UBA5212	GB_GCA_002412585.1
U_66283	UBA8231	GB_GCA_003529325.1
U_69493	UBA206	GB_GCA_002503105.1
U_69015	UBA9206	
U_71447	UBA10128	GB_GCA_003521785.1
U_71922	UBA4449	GB_GCA_002389535.1
U_67539	UBA8671	GB_GCA_003539345.1
U_68007	UBA8881	GB_GCA_003446115.1
U_72152	UBA4599	GB_GCA_002386685.1
U_76357	UBA7021	GB_GCA_002449495.1
U_67984	UBA8875	GB_GCA_003516235.1
U_69608	UBA3165	GB_GCA_002364905.1
U_70724	UBA3801	GB_GCA_002368685.1
U_72093	UBA4562	GB_GCA_002387805.1
U_75694	UBA6638	GB_GCA_002455995.1
U_77313	UBA7571	GB_GCA_002476605.1
U_76361	UBA7024	GB_GCA_002494185.1
U_77739	UBA12417	GB_GCA_003520765.1
U_67947	UBA8838	
U_73061	UBA10777	GB_GCA_003508295.1
U_66120	UBA1022	GB_GCA_002304695.1
U_69998	UBA3392	GB_GCA_002358775.1
U_76769	UBA12014	GB_GCA_003448555.1
U_77925	UBA12552	
U_76611	UBA11968	GB_GCA_003488945.1
U_73227	UBA5150	GB_GCA_002413795.1
U_71450	UBA10131	GB_GCA_003537855.1
U_75656	UBA6613	GB_GCA_002433225.1
U_71712	UBA4314	GB_GCA_002394605.1
U_69985	UBA9506	GB_GCA_003506415.1
U_75807	UBA6687	GB_GCA_002457835.1
U_72566	UBA4846	GB_GCA_002399965.1
U_66412	UBA1180	GB_GCA_002310195.1
U_68794	UBA2604	GB_GCA_002339265.1
U_69139	UBA2840	GB_GCA_002350995.1
U_72896	UBA5024	GB_GCA_002416295.1
U_74646	UBA5975	GB_GCA_002430075.1
U_75799	UBA11720	
U_73158	UBA5112	GB_GCA_002414455.1
U_75452	UBA6500	GB_GCA_002436445.1
U_66956	UBA8459	GB_GCA_003500835.1
U_66294	UBA1130	GB_GCA_002311535.1
U_70832	UBA9849	
U_75301	UBA6394	GB_GCA_002438655.1
U_71372	UBA4164	GB_GCA_002380515.1
U_77832	UBA12502	
U_75340	UBA6425	GB_GCA_002437345.1
U_68465	UBA2428	GB_GCA_002343545.1
U_68889	UBA2666	GB_GCA_002359265.1
U_74240	UBA5737	GB_GCA_002419345.1
U_77840	UBA12509	
U_72372	UBA4735	GB_GCA_002404035.1
U_76857	UBA12085	GB_GCA_003518415.1
U_69582	UBA3147	GB_GCA_002365025.1
U_77410	UBA12307	GB_GCA_003447965.1
U_67583	UBA1893	GB_GCA_002337815.1
U_67926	UBA2094	GB_GCA_002331565.1
U_77513	UBA7706	GB_GCA_002482465.1
U_75916	UBA6768	GB_GCA_002453315.1
U_76773	UBA553	GB_GCA_002494605.1
U_66829	UBA8409	GB_GCA_003449615.1
U_69371	UBA9276	GB_GCA_003545215.1
U_68789	UBA9136	GB_GCA_003448115.1
U_66680	UBA1353	GB_GCA_002306175.1
U_65606	UBA717	GB_GCA_002298805.1
U_70716	UBA3796	GB_GCA_002369175.1
U_75266	UBA6367	GB_GCA_002437725.1
U_69765	UBA3267	GB_GCA_002362455.1
U_70469	UBA3646	GB_GCA_002373535.1
U_75114	UBA11442	GB_GCA_003514405.1
U_71481	UBA10162	GB_GCA_003505355.1
U_74723	UBA11355	
U_74896	UBA11392	
U_74554	UBA11270	GB_GCA_003535675.1
U_76432	UBA7081	GB_GCA_002493545.1
U_69602	UBA9356	
U_70566	UBA3708	GB_GCA_002371375.1
U_71066	UBA9925	GB_GCA_003451375.1
U_66932	UBA85	GB_GCA_002496175.1
U_69280	UBA192	GB_GCA_002504885.1
U_75195	UBA11521	GB_GCA_003516825.1
U_71240	UBA10017	GB_GCA_003485005.1
U_70458	UBA9709	
U_68987	UBA2724	GB_GCA_002353815.1
U_76151	UBA11847	GB_GCA_003510265.1
U_69433	UBA3068	GB_GCA_002366815.1
U_68089	UBA2175	GB_GCA_002328145.1
U_75039	UBA11419	
U_65543	UBA7982	
U_71462	UBA10143	GB_GCA_003514445.1
U_70553	UBA9740	
U_67711	UBA1974	GB_GCA_002336345.1
U_69259	UBA9248	GB_GCA_003526665.1
U_75937	UBA11753	GB_GCA_003487475.1
U_68006	UBA8880	GB_GCA_003446085.1
U_65541	UBA7980	
U_67633	UBA8715	GB_GCA_003455845.1
U_75729	UBA6666	GB_GCA_002455285.1
U_68342	UBA2330	GB_GCA_002344965.1
U_71826	UBA4387	GB_GCA_002391075.1
U_71111	UBA4049	GB_GCA_002382755.1
U_74396	UBA458	GB_GCA_002496085.1
U_71864	UBA4414	GB_GCA_002389765.1
U_69829	UBA3311	GB_GCA_002361975.1
